Id Label Weight
黄旗招 黄旗招 1
胡言 胡言 1
金蘸斧 金蘸斧 8
李都监 李都监 2
白额虎 白额虎 3
毛堆 毛堆 1
玉麒麟 玉麒麟 19
伍相 伍相 1
秦王 秦王 2
杨志提 杨志提 5
青缨 青缨 2
红绒 红绒 1
白罗 白罗 3
真乃寿 真乃寿 1
掌金阙 掌金阙 1
袁达 袁达 2
圆彪彪 圆彪彪 3
安容 安容 1
司将 司将 1
金鼓旗 金鼓旗 5
花红 花红 8
杨志新 杨志新 1
梁府 梁府 3
那索超 那索超 1
蔡夫人 蔡夫人 8
绿艾 绿艾 1
孔雀 孔雀 5
紫霞 紫霞 3
绮罗 绮罗 3
世杰 世杰 2
金珠 金珠 22
宝贝 宝贝 25
齐备 齐备 9
蔡太师 蔡太师 50
廉明 廉明 6
仁慈 仁慈 5
曲直 曲直 2
公吏人 公吏人 5
尉司 尉司 2
马兵 马兵 1
名仝 名仝 2
若朗星 若朗星 1
关云长 关云长 2
美髯公 美髯公 7
朱仝 朱仝 237
雷名横 雷名横 2
雷横 雷横 166
武勇 武勇 2
东溪村 东溪村 20
红叶树 红叶树 1
朱仝引 朱仝引 1
灵官庙 灵官庙 3
保正庄 保正庄 4
醉卧 醉卧 2
灵官殿 灵官殿 6
晁天王 晁天王 31
刘唐 刘唐 156
晁盖 晁盖 355
贡诸珍 贡诸珍 1
晁保正 晁保正 21
晁名盖 晁名盖 1
盖起来 盖起来 1
晁盖听 晁盖听 9
晁盖便 晁盖便 16
紫黑阔 紫黑阔 1
黄毛 黄毛 2
寻阿舅 寻阿舅 2
黑甜 黑甜 1
晁盖见 晁盖见 7
阿舅 阿舅 5
王小三 王小三 2
和家姐 和家姐 1
黄汤 黄汤 1
望赐笑 望赐笑 1
刘名唐 刘名唐 3
祖贯 祖贯 27
东潞州 东潞州 4
刘唐廊 刘唐廊 1
计大妙 计大妙 7
刘唐便 刘唐便 6
北斗 北斗 5
傅粉施朱 傅粉施朱 1
宝马 宝马 5
晓霞横 晓霞横 1
碧汉 碧汉 1
扶桑 扶桑 3
刘唐挺 刘唐挺 1
唐大怒 唐大怒 3
显翠 显翠 1
晓烟 晓烟 1
丁字 丁字 4
凌烟阁 凌烟阁 3
雷横赢 雷横赢 1
智多星 智多星 17
吴用 吴用 576
诸葛亮 诸葛亮 2
陈平 陈平 2
施小计 施小计 3
刘唐光 刘唐光 1
胡为 胡为 1
晁家庄 晁家庄 4
白光 白光 3
吴用笑 吴用笑 8
刘兄 刘兄 4
公孙胜 公孙胜 216
金帛 金帛 18
石碣 石碣 36
阮小二 阮小二 85
阮小五 阮小五 70
阎罗 阎罗 17
阮小七 阮小七 111
通文墨 通文墨 2
阮家三 阮家三 21
刘兄休 刘兄休 1
刘兄弟 刘兄弟 1
桑柘堆 桑柘堆 1
古木 古木 2
盖胆 盖胆 1
芦苇丛 芦苇丛 11
布裙 布裙 1
寻五哥 寻五哥 1
柳绿 柳绿 1
红照水 红照水 1
翠纱衫 翠纱衫 1
言三醉 言三醉 1
岳阳楼 岳阳楼 1
阮家 阮家 4
小猴子 小猴子 9
吴用劝 吴用劝 12
吴用听 吴用听 7
笞杖 笞杖 1
若能勾 若能勾 1
屈有才 屈有才 1
阮三 阮三 1
王伦若 王伦若 1
惜客好义 惜客好义 1
阮小跳 阮小跳 1
阮氏三雄 阮氏三雄 9
庄客宰 庄客宰 2
阮见晁 阮见晁 1
化斋 化斋 1
钱米斋 钱米斋 1
松纹 松纹 1
古铜剑 古铜剑 1
寻保正 寻保正 1
吴用见 吴用见 6
小阁儿 小阁儿 5
单讳 单讳 2
王法 王法 2
万贯 万贯 3
马如龙 马如龙 5
巧施功 巧施功 1
金贝归 金贝归 1
晁盖笑 晁盖笑 1
公孙胜一 公孙胜一 2
闻江湖 闻江湖 2
加亮 加亮 5
公孙胜先生 公孙胜先生 9
安乐村 安乐村 3
白胜 白胜 83
吴先生 吴先生 7
公孙先生 公孙先生 9
紫金山 紫金山 1
白沙 白沙 1
野云渡 野云渡 1
若依 若依 3
虞候 虞候 36
虞候和 虞候和 4
杨志那 杨志那 1
老谢 老谢 1
杨志领 杨志领 4
杨志戴 杨志戴 2
上凉笠 上凉笠 1
吴七 吴七 1
玉屏 玉屏 1
朱阑 朱阑 2
白虾 白虾 1
蓬莱岛 蓬莱岛 4
那虞候 那虞候 4
雨汗 雨汗 1
杨志跳 杨志跳 1
云彩 云彩 5
祝融 祝融 5
翠干 翠干 1
阳侯 阳侯 1
石烈 石烈 1
鱼龙 鱼龙 1
石虎 石虎 1
须汗 须汗 1
冈子 冈子 4
那军健 那军健 1
赤日炎炎 赤日炎炎 1
王孙 王孙 2
从松林 从松林 2
老爷爷 老爷爷 2
那军汉 那军汉 6
何争 何争 1
杨志见 杨志见 1
金宝 金宝 10
那白胜 那白胜 1
秋霜 秋霜 5
宝珠寺 宝珠寺 12
松桧 松桧 1
翠接天 翠接天 1
邓龙真 邓龙真 1
危志益 危志益 1
宝珠 宝珠 2
凌辱 凌辱 1
曹正 曹正 46
曹名正 曹名正 1
金眼虎 金眼虎 1
邓龙 邓龙 11
龙竞宝 龙竞宝 5
翠岭 翠岭 2
黑云 黑云 9
雷吼 雷吼 1
施雪刃 施雪刃 1
卞庄 卞庄 2
毛发 毛发 5
杨志笑 杨志笑 1
张青 张青 77
母夜叉 母夜叉 14
孙二娘 孙二娘 56
杨志引 杨志引 4
计若何 计若何 2
杨志齐 杨志齐 1
妙哉 妙哉 6
翠微 翠微 1
邓龙雄 邓龙雄 1
更待干罢 更待干罢 1
仰尉司 仰尉司 1
杨志各 杨志各 1
何涛 何涛 74
雁飞 雁飞 1
上三 上三 1
何清 何清 13
何清笑 何清笑 3
宋公明 宋公明 220
何清径 何清径 1
红白 红白 4
虞候作 虞候作 2
孟尝君 孟尝君 4
宋家村 宋家村 11
黑宋江 黑宋江 4
黑三郎 黑三郎 6
宋清 宋清 67
宋太公 宋太公 42
宋江自 宋江自 39
若高若 若高若 1
宋江 宋江 2257
双清 双清 1
甘雨 甘雨 1
呼保义 呼保义 14
宋江见 宋江见 92
宋江道 宋江道 442
宋江便 宋江便 108
望押司 望押司 3
安抚 安抚 36
晁盖庄 晁盖庄 3
庄客见 庄客见 5
仁有义 仁有义 1
晁盖正 晁盖正 1
宋押司 宋押司 34
晁家来 晁家来 1
朱都头 朱都头 6
雷横亦 雷横亦 1
公孙胜引 公孙胜引 3
保正休 保正休 1
雷横执 雷横执 2
朱仝正 朱仝正 2
东小 东小 1
申呈本 申呈本 3
白胜依 白胜依 1
寇仇 寇仇 4
花竹 花竹 1
水亭生 水亭生 1
马匹 马匹 32
齐放箭 齐放箭 3
赵王君 赵王君 1
老郎 老郎 2
邓邓 邓邓 2
翠盖 翠盖 1
宝剑 宝剑 23
芦苇荡 芦苇荡 1
晁盖备 晁盖备 1
朱贵唤 朱贵唤 1
藏拙 藏拙 1
王伦唤 王伦唤 1
那堪 那堪 7
王伦肯 王伦肯 1
恩赐 恩赐 6
武艺超群 武艺超群 1
容时 容时 1
那水亭 那水亭 1
阴柳影 阴柳影 1
沙鸥 沙鸥 1
明月清风 明月清风 1
山小寨 山小寨 1
真龙 真龙 1
双眉 双眉 2
言清行浊 言清行浊 1
朱贵本 朱贵本 1
王伦见 王伦见 1
吴兄 吴兄 1
天下英雄 天下英雄 1
宁死 宁死 5
晁盖仁 晁盖仁 1
冉冉 冉冉 7
真高谊 真高谊 1
晁兄 晁兄 3
智勇足 智勇足 4
晁盖强 晁盖强 1
扶晁盖 扶晁盖 1
幸得众 幸得众 1
苟且 苟且 2
孙吴 孙吴 2
小之法 小之法 1
济世之才 济世之才 2
杜二 杜二 1
那杜迁 那杜迁 1
宋万见 宋万见 1
林敖 林敖 1
杜绝 杜绝 1
吴某 吴某 6
西迎 西迎 1
项羽 项羽 1
红罗绣 红罗绣 1
何颜见 何颜见 1
阮道 阮道 2
阮便 阮便 1
晁盖恐 晁盖恐 1
宋万引 宋万引 1
松宽 松宽 2
官宗 官宗 1
申呈 申呈 1
张文远 张文远 7
宋江亦 宋江亦 4
蒙恩 蒙恩 3
宋江听 宋江听 66
谢押司 谢押司 2
雷二 雷二 4
宋江唤 宋江唤 7
唐牛儿 唐牛儿 34
宋江怒 宋江怒 2
阎婆惜 阎婆惜 25
玄女 玄女 18
诸豪杰 诸豪杰 1
宋江转 宋江转 2
阎婆 阎婆 31
阎公 阎公 2
钱津 钱津 1
陈三 陈三 1
郎家取 郎家取 1
阎婆道 阎婆道 14
陈三郎 陈三郎 3
那阎婆 那阎婆 1
谢宋江 谢宋江 2
王婆道 王婆道 58
从小儿 从小儿 2
